Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,DeMar DeRozan,28,80,80,2711,645,1413,0.456,89,285,0.312,556,1128,0.493,0.488,461,559,0.825,59,256,315,417,85,22,175,151,1840
TOR,Kyle Lowry,31,78,78,2510,403,944,0.427,238,596,0.399,165,348,0.474,0.553,223,261,0.854,66,368,434,537,85,19,183,192,1267
TOR,Serge Ibaka,28,76,76,2093,379,784,0.483,107,297,0.36,272,487,0.559,0.552,94,118,0.797,78,400,478,62,29,99,90,210,959
TOR,Jonas Valanciunas,25,77,77,1727,390,687,0.568,30,74,0.405,360,613,0.587,0.59,170,211,0.806,183,477,660,81,29,69,115,192,980
TOR,Pascal Siakam,23,81,5,1679,253,498,0.508,29,132,0.22,224,366,0.612,0.537,54,87,0.621,79,285,364,159,62,42,67,166,589
TOR,Jakob Poeltl,22,82,0,1524,253,384,0.659,1,2,0.5,252,382,0.66,0.66,60,101,0.594,165,228,393,57,39,100,85,212,567
TOR,Fred VanVleet,23,76,0,1520,232,545,0.426,108,261,0.414,124,284,0.437,0.525,84,101,0.832,25,159,184,243,68,19,74,130,656
TOR,OG Anunoby,20,74,62,1481,163,346,0.471,73,197,0.371,90,149,0.604,0.577,39,62,0.629,44,140,184,55,52,14,45,130,438
TOR,Delon Wright,25,69,4,1433,201,432,0.465,56,153,0.366,145,279,0.52,0.53,97,117,0.829,45,153,198,200,72,33,78,81,555
TOR,C.J. Miles,30,70,3,1337,227,599,0.379,164,454,0.361,63,145,0.434,0.516,81,97,0.835,18,134,152,55,37,21,39,134,699
TOR,Norman Powell,24,70,18,1062,150,374,0.401,53,186,0.285,97,188,0.516,0.472,32,39,0.821,14,105,119,89,37,16,66,111,385
TOR,Lucas Nogueira,25,49,3,418,49,80,0.613,5,19,0.263,44,61,0.721,0.644,19,28,0.679,18,69,87,22,23,43,16,49,122
TOR,Lorenzo Brown,27,14,0,139,14,34,0.412,2,12,0.167,12,22,0.545,0.441,2,2,1,1,14,15,13,5,0,3,7,32
TOR,Malcolm Miller,24,15,4,126,13,28,0.464,8,21,0.381,5,7,0.714,0.607,4,4,1,4,11,15,3,1,2,5,10,38
TOR,Alfonzo McKinnie,25,14,0,53,8,15,0.533,3,9,0.333,5,6,0.833,0.633,2,3,0.667,1,6,7,1,1,1,3,8,21
TOR,Bruno Caboclo,22,2,0,7,0,2,0,0,2,0,0,0,,0,0,0,,0,1,1,1,1,0,0,1,0
TOR,Nigel Hayes,23,2,0,6,2,2,1,2,2,1,0,0,,1.5,0,0,,0,0,0,0,0,0,1,0,6
TOR,Malachi Richardson,22,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,0,0,2
BOS,Jayson Tatum,19,80,80,2438,397,835,0.475,105,242,0.434,292,593,0.492,0.538,213,258,0.826,50,352,402,128,83,58,114,170,1112
BOS,Al Horford,31,72,72,2277,368,753,0.489,97,226,0.429,271,527,0.514,0.553,94,120,0.783,103,427,530,339,43,78,132,138,927
BOS,Jaylen Brown,21,70,70,2152,373,803,0.465,121,306,0.395,252,497,0.507,0.54,150,233,0.644,67,280,347,114,70,26,124,181,1017
BOS,Terry Rozier,23,80,16,2068,316,800,0.395,153,402,0.381,163,398,0.41,0.491,115,149,0.772,63,313,376,232,80,19,80,123,900
BOS,Kyrie Irving,25,60,60,1931,534,1087,0.491,166,407,0.408,368,680,0.541,0.568,232,261,0.889,33,194,227,306,65,17,140,122,1466
BOS,Marcus Smart,23,54,11,1614,189,515,0.367,75,249,0.301,114,266,0.429,0.44,97,133,0.729,43,146,189,259,71,23,129,133,550
BOS,Aron Baynes,31,81,67,1485,210,446,0.471,3,21,0.143,207,425,0.487,0.474,59,78,0.756,129,304,433,93,22,51,80,200,482
BOS,Marcus Morris,28,54,21,1447,262,611,0.429,86,234,0.368,176,377,0.467,0.499,124,154,0.805,43,246,289,72,35,12,65,100,734
BOS,Semi Ojeleye,23,73,0,1150,65,188,0.346,40,125,0.32,25,63,0.397,0.452,25,41,0.61,37,124,161,20,21,4,25,91,195
BOS,Daniel Theis,25,63,3,936,126,233,0.541,18,58,0.31,108,175,0.617,0.579,61,81,0.753,90,184,274,56,30,48,56,157,331
BOS,Shane Larkin,25,54,2,775,84,219,0.384,31,86,0.36,53,133,0.398,0.454,32,37,0.865,15,77,92,98,29,3,33,58,231
BOS,Abdel Nader,24,48,1,522,50,149,0.336,23,65,0.354,27,84,0.321,0.413,23,39,0.59,13,58,71,26,15,10,34,45,146
BOS,Greg Monroe,27,26,0,496,105,198,0.53,0,0,,105,198,0.53,0.53,55,69,0.797,53,112,165,59,28,17,48,48,265
BOS,Guerschon Yabusele,22,33,4,235,26,61,0.426,12,37,0.324,14,24,0.583,0.525,15,22,0.682,17,35,52,16,4,5,12,23,79
BOS,Jabari Bird,23,13,1,115,15,26,0.577,3,7,0.429,12,19,0.632,0.635,6,13,0.462,6,13,19,8,3,1,8,7,39
BOS,Kadeem Allen,25,18,1,107,6,22,0.273,0,11,0,6,11,0.545,0.273,7,9,0.778,4,7,11,12,3,2,9,15,19
BOS,Jonathan Gibson,30,4,0,40,14,23,0.609,6,12,0.5,8,11,0.727,0.739,0,0,,0,3,3,4,0,0,3,5,34
BOS,Xavier Silas,30,2,0,7,0,3,0,0,2,0,0,1,0,0,0,0,,1,1,2,0,1,0,0,1,0
BOS,Jarell Eddie,26,2,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,1,0,0,0,0
BOS,Gordon Hayward,27,1,1,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,0,1,2
PHI,Ben Simmons,21,81,81,2732,544,998,0.545,0,11,0,544,987,0.551,0.545,191,341,0.56,145,514,659,661,140,70,278,211,1279
PHI,Robert Covington,27,80,80,2532,345,836,0.413,203,550,0.369,142,286,0.497,0.534,116,136,0.853,55,378,433,156,137,72,126,238,1009
PHI,Dario Saric,23,78,73,2310,403,890,0.453,157,399,0.393,246,491,0.501,0.541,178,207,0.86,154,366,520,202,51,20,148,160,1141
PHI,J.J. Redick,33,70,70,2116,404,879,0.46,193,460,0.42,211,419,0.504,0.569,197,218,0.904,9,169,178,210,35,6,103,123,1198
PHI,Joel Embiid,23,63,63,1912,510,1056,0.483,66,214,0.308,444,842,0.527,0.514,359,467,0.769,143,547,690,199,40,111,234,209,1445
PHI,T.J. McConnell,25,76,1,1706,210,421,0.499,27,62,0.435,183,359,0.51,0.531,31,39,0.795,37,189,226,303,92,13,112,122,478
PHI,Amir Johnson,30,74,18,1171,140,260,0.538,10,32,0.313,130,228,0.57,0.558,52,85,0.612,123,207,330,118,45,44,55,193,342
PHI,Jerryd Bayless,29,39,11,925,109,262,0.416,54,146,0.37,55,116,0.474,0.519,35,44,0.795,15,65,80,54,23,6,46,91,307
PHI,Timothe Luwawu-Cabarrot,22,52,7,807,100,267,0.375,53,158,0.335,47,109,0.431,0.474,46,58,0.793,14,58,72,54,12,5,38,97,299
PHI,Richaun Holmes,24,48,2,746,135,241,0.56,4,31,0.129,131,210,0.624,0.568,37,56,0.661,57,154,211,61,20,29,25,97,311
PHI,Marco Belinelli,31,28,1,737,138,279,0.495,57,148,0.385,81,131,0.618,0.597,47,54,0.87,6,45,51,45,20,9,40,50,380
PHI,Ersan Ilyasova,30,23,3,554,93,212,0.439,30,83,0.361,63,129,0.488,0.509,33,45,0.733,44,110,154,39,17,9,29,65,249
PHI,Justin Anderson,24,38,0,519,87,202,0.431,34,103,0.33,53,99,0.535,0.515,28,38,0.737,25,68,93,25,15,7,16,54,236
PHI,Trevor Booker,30,33,0,494,61,109,0.56,2,7,0.286,59,102,0.578,0.569,32,39,0.821,47,75,122,27,16,11,20,51,156
PHI,Markelle Fultz,19,14,0,253,45,111,0.405,0,1,0,45,110,0.409,0.405,10,21,0.476,11,32,43,53,12,4,17,22,100
PHI,Furkan Korkmaz,20,14,0,80,8,28,0.286,5,17,0.294,3,11,0.273,0.375,2,4,0.5,2,9,11,4,2,1,2,12,23
PHI,James Young,22,6,0,61,5,14,0.357,3,10,0.3,2,4,0.5,0.464,4,6,0.667,0,2,2,2,0,0,1,4,17
PHI,Nik Stauskas,24,6,0,45,1,4,0.25,0,1,0,1,3,0.333,0.25,2,2,1,0,1,1,1,4,0,4,3,4
PHI,Jahlil Okafor,22,2,0,25,4,9,0.444,0,0,,4,9,0.444,0.444,2,4,0.5,4,5,9,1,0,2,3,7,10
PHI,James Michael McAdoo,25,3,0,18,2,7,0.286,2,7,0.286,0,0,,0.429,2,2,1,0,2,2,0,0,1,1,1,8
PHI,Demetrius Jackson,23,3,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,1,2,0.5,1,0,1,4,1,0,1,1,8
PHI,Larry Drew,27,3,0,15,1,7,0.143,0,3,0,1,4,0.25,0.143,0,0,,1,0,1,2,0,0,1,2,2
PHI,Jacob Pullen,28,3,0,6,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,1,0,2
NYK,Courtney Lee,32,76,69,2310,343,755,0.454,113,278,0.406,230,477,0.482,0.529,114,124,0.919,30,194,224,180,80,17,84,109,913
